PC1,PC2,Cluster_OPTICS
-0.3578077570076609,2.082369184219873,-1
0.9156792030285872,1.0197074117687897,-1
-0.599807125466135,0.5486399694789401,-1
-0.3935386593232026,-0.1434926932947221,-1
3.1003879580062077,-0.0725673548518528,-1
0.00973662255566,-0.734297264964637,-1
0.5283196506039006,0.0016641900542902,-1
-0.4809189346456068,1.3602353909232092,-1
-0.4984974258716965,0.6823391186727021,-1
2.831012205428694,-0.0919110448216068,-1
-0.0390805384309112,0.8435199458039764,-1
1.009537806488791,-0.2925327962809369,-1
-0.7484811880425061,1.319765367451252,-1
0.3076448052531625,-0.2101954587493153,-1
0.7694124421439659,-0.7766218902768747,-1
-0.7351503076874256,0.2824157384760346,-1
-0.6054056922639796,0.6420268343906415,-1
-0.6288607572429802,-1.191180070542074,-1
0.5525498995366084,-0.1903555865172655,-1
-1.3397211937505804,1.4152056152752075,-1
-0.190010905310051,-1.7059573711087572,-1
-1.5755319971835775,1.307952980754299,-1
0.520036998121907,0.8732744521933972,-1
2.5865560219600905,-0.0551062069299015,-1
0.2440944981683243,0.2138520484626153,-1
0.8251868625497598,-1.441079198908538,-1
0.1875220420812891,-0.7663633812947248,-1
-0.4049857613328375,0.281190287730302,-1
0.2895074294129934,-2.115357650179416,-1
-0.1185603816767334,0.4163916466159599,-1
-0.8431151294440254,-0.0428870694948798,-1
-0.0350066409320225,-0.912045539176356,-1
0.2694312853634105,-1.2326311152312424,-1
0.9571721234594012,0.4325864297534894,-1
0.868529237244531,0.7051352640747491,-1
-1.6013667389322035,-0.8355037712574287,-1
-0.4022670677638978,0.6891801087504409,-1
2.2837581355247307,-1.2855800004371734,-1
-0.1974721952237787,-0.3328358896375769,-1
0.4212820473762755,-1.7088666501277603,-1
0.3253844761392175,-0.441665693450787,-1
0.6077064871932432,-0.5407842507530708,-1
0.3483917290301566,-1.3144196692883952,-1
-0.9075810287162762,-0.5493937164137387,-1
0.0243144494068243,-0.0703294454270956,-1
-0.2921293837286146,0.6593896653464303,-1
0.0308414076643249,-0.7098576595695808,-1
-1.07005951209597,1.6744154517904182,-1
3.0166217222053717,0.4421706199768274,-1
0.5498552862376781,0.2543338264054973,-1
-0.1457990872907033,1.435410306219198,-1
-0.4186461438868235,-0.1056987953231861,-1
-0.0553323338478546,-0.94816382304604,-1
-0.4458067482779028,2.072189175137636,-1
3.3736689401998725,0.5027625548032842,-1
2.599814141893475,0.2655015086396827,-1
0.0565889531373483,0.4444744496526632,-1
-1.1208977845892594,-0.2848907479692332,-1
0.4169343909254344,-1.5569212026043828,-1
-0.5956484331648001,1.7603326302581124,-1
-1.6614192602552695,-0.0151451214999873,-1
-0.7345337776846418,-0.7027955735963711,-1
-0.9703418458091944,0.3644131119320115,-1
-0.8064766312670021,0.6339574595720373,-1
0.5018015586273658,0.0139241765618579,-1
2.2004721337516933,0.6222126680368003,-1
-1.5466493434704087,0.7514229546185471,-1
-0.2021395054378288,0.2209669307888267,-1
-1.7454942026568363,0.0782301405168824,-1
-0.1929602042568312,-1.3764405940831224,-1
-0.6974397993491059,-0.2696998649536855,-1
0.2261468398606461,-1.0591074982702031,-1
-0.8536486156118993,-0.1429568821422369,-1
0.4210748931213454,-0.0057392056890098,-1
0.7685703637612338,-1.069292635952634,-1
0.1736357658035584,2.214022401550022,-1
-1.1816449371379998,0.3618099030030296,-1
1.0265015400381543,-0.4946171024779693,-1
0.0601666124480687,0.1344630125358131,-1
1.1115844076843373,0.5280142495047049,-1
-1.3928290393985647,0.1483667621885766,-1
-0.426245865688605,-0.2330512016838958,-1
0.979655773220328,0.3029040331104555,-1
3.384983500486039,-0.2302257439745277,-1
0.0109659283097106,-0.0181485656389619,-1
-0.9356216040467132,0.2998070553977729,-1
-0.0593186953071523,-0.5719442381689119,-1
0.4308611596727329,0.1177611836312287,-1
0.4822444302895853,-0.3674067700870968,-1
0.7999893106576976,2.1220981174400277,-1
-0.9373732602163866,2.3775330911202333,-1
-0.4692878754523725,0.2076824692125599,-1
2.4749388541574087,-1.5473676692193483,-1
-0.1616623025579675,-0.6412333294813689,-1
0.7483175054709976,1.0250345892598007,-1
1.075345436819471,-1.257010232127599,-1
1.0086170775197778,-0.4194147674909966,-1
-1.1905104747203736,0.3651914848928506,-1
0.697614510009621,0.548495027302228,-1
-0.7698992671701121,0.3529771468418308,-1
-0.9681307512098972,-1.323134229362051,-1
-0.4146335959961708,1.6581637862419534,-1
0.2345343293602758,0.0435756315672575,-1
2.657318403927696,0.3814748085884412,-1
0.3766014303145041,0.7862050427035963,-1
-0.2163814703458198,-0.3629681648373996,-1
0.9748011469469432,-1.7536292941304432,-1
-0.4888437010437778,0.4975341902401528,-1
3.4143392750997537,-0.0453358413474278,-1
0.3679293645161381,-1.2647820541797876,-1
-1.7022865556305875,-0.582980119625193,-1
0.2587846205081733,-1.141408898787235,-1
-1.085153483606098,-2.240002947316508,-1
-0.7777719945408617,0.6178454560239985,-1
-0.595644678913283,-0.9262386932123738,-1
0.9181912119222786,0.5944501190311859,-1
0.6623411940139373,-0.6337127381372336,-1
-0.9154023906588804,0.0589198225070298,-1
0.224461454552707,1.172771196328651,-1
-0.9574165127465506,-0.5890211192531164,-1
-0.2714658469441495,-0.045838759823112,-1
0.2866271366363918,-0.4572268942280964,-1
0.3558370147835142,0.1510675907492001,-1
-1.2763919274111886,-0.9774545201555428,-1
-1.0963867878132327,-0.3304380876513005,-1
1.1203037210723208,-0.134913884472358,-1
-0.0162098653182601,-2.183183335512258,-1
0.4287572237805195,0.5897519410586296,-1
0.6671255911544764,0.6347404153746418,-1
0.6942661533303661,-0.5501828013032435,-1
-1.1761445137782356,0.1025184810166807,-1
-1.1024212121020966,0.170486913921175,-1
-0.2394460288614753,0.353792499359519,-1
-0.5886928103272407,-1.1500849583007964,-1
-0.2421963854073588,0.9778632377105309,-1
-0.741482491414543,-0.4612420584781374,-1
0.3167418314120557,0.8768530990111172,-1
0.5426856115460388,-0.2610088138218795,-1
-0.4862477007626101,2.423314778439236,-1
-0.4881652779980676,0.1893020922109908,-1
-0.4802263595492922,-1.133130030967992,-1
-0.8413236043720751,0.3707102955593813,-1
-0.8112954266929294,-0.7768964546179781,-1
-0.948651644311299,-0.8889561206974714,-1
-1.5122495088541208,-0.9071664820124976,-1
-0.3470883317307279,0.6331896232310648,-1
2.3470279043656523,-0.812287486969188,-1
-0.1082873915375864,0.420836726160296,-1
-0.236348603578553,-1.349273631402624,-1
-1.116379773642033,-0.3042308976394812,-1
-1.0109186246892052,0.5574301627548169,-1
-1.513790052497753,0.101359624123842,-1
-1.0907343298782006,0.0502691396554858,-1
1.0230447219054402,-1.0489210148933268,-1
1.0549229032119338,-0.7878504053953832,-1
-0.6023841822588941,0.2792107981434888,-1
-0.0126762487090304,-1.141192779915864,-1
0.1395676808717241,-1.381402279260378,-1
-1.5824053449990323,1.5339144866808267,-1
-1.4919777070754758,-1.3451422903613008,-1
-1.3193585712605098,-0.5523128584507934,-1
-0.9227208208337608,1.0300681484662364,-1
-1.0531288740856195,2.0011130525917933,-1
-0.0980741827002122,-1.2409808565929576,-1
-0.8779211349200404,-0.4641270033773824,-1
-0.0618470421965022,-0.4606730269418441,-1
-0.077849838110587,-0.0088538916507186,-1
0.3968049793059549,1.01545600842894,-1
1.0604909001798073,-0.2218065008287903,-1
0.5250312050421122,0.4013450084426037,-1
0.8974255734286223,0.4998464722734508,-1
0.0066936377733157,0.1182048726927094,-1
-0.7273861215538437,-0.649795127389228,-1
-0.4403844261410293,0.6540284422937028,-1
0.3403416638514633,-2.0016954381456027,-1
-0.1847488796344642,-0.3868148593046843,-1
-0.7295706101740894,2.0210803103276227,-1
2.33185371396278,0.6247736172326468,-1
0.2867387529459921,-0.9838935603883988,-1
-1.146608949851435,-2.118201529463878,-1
0.5491892429165146,0.2426244910925656,-1
0.0203467773843555,0.0213632061675614,-1
-0.7439373244992125,0.2879125612039606,-1
-0.9294169050451716,-1.2802291211947816,-1
3.378601463676554,0.3976663545786512,-1
1.1759936805109563,-0.6140345158442145,-1
2.6735609002723324,-0.9775955928165578,-1
2.749145152738297,-0.3241698859515974,-1
-0.1586835325079975,1.0191352946612702,-1
0.4187277681071507,-1.7967992551968577,-1
-0.5297654369196739,0.7802631852197437,-1
0.1614411603741345,-1.8700793519483967,-1
-1.114245947098933,0.0569096760819129,-1
-0.2220799529078022,1.4297060335195997,-1
-0.3023173635372126,-0.8550501767809964,-1
1.059449330032788,0.5156268774933577,-1
-1.0480724343584995,-0.1623077200084446,-1
1.2737861812755316,0.0033766321368979,-1
-1.300822970854559,-0.4265132872626276,-1
0.2508438499496321,0.834498642038484,-1
-0.4850067186350116,-0.5559391967540283,-1
0.0293514760658535,-1.3537270766944722,-1
-1.1832985296533012,1.3937240229269288,-1
-0.3411253150851989,0.7817841457029252,-1
-0.339284610530157,-0.9602926648767874,-1
-1.8237133669036671,0.3240400359990651,-1
-0.0035857121100988,1.4579657812657645,-1
-1.0110725614062244,1.950527419285432,-1
0.3543256084077839,-0.0031157249654974,-1
0.0806177339601172,-0.1727481507241559,-1
-0.8320992975071998,0.4609539885434243,-1
-0.1567758037082367,1.4270518959577831,-1
-0.3608917836229635,-0.395538761879854,-1
-0.8745723086611031,-1.901823732968404,-1
-0.6288645912782057,0.2836747800552033,-1
0.4166284196331476,-0.8038225953669025,-1
0.3128250254863271,1.2570285774906458,-1
0.2518009591294933,0.2824019409761427,-1
-0.735425918749144,-0.6677288813341836,-1
-0.572973083945923,1.4414734453618192,-1
-0.003491606726838,-0.2217736493854265,-1
2.5705656057705526,0.0767714950191302,-1
-0.8384827668787541,0.5855674347238604,-1
-0.7304549589322549,1.215219666845162,-1
-1.1515419429077984,0.523269228957248,-1
0.5607788649010087,1.784438897448256,-1
-0.155157992008407,-1.6301621251940126,-1
0.1071709034011247,-1.5351694771806723,-1
-1.0824191312205846,-0.0254649441587444,-1
2.135880805883226,0.4590354682475945,-1
-1.124538430089879,-0.2792287350027703,-1
-0.7142606731596218,-0.4695887142686268,-1
-0.7173139259253594,-0.2864285915235325,-1
0.069817731783237,-1.3927072512498315,-1
-0.2518515427973467,0.6593895137703369,-1
-0.7628829298001158,-0.442861529900475,-1
-0.6626740823230646,-1.1830292618284253,-1
-0.3819348852881042,-0.7868116108010705,-1
-0.2086931994900748,0.0450710638123282,-1
2.005617594295674,0.2067277839106367,-1
-1.5531009358134629,1.3753591595693255,-1
-0.9128617938606776,-0.2043888067583268,-1
0.1443189026895419,-0.795883691623304,-1
-1.7424609921062886,0.8880347715547251,-1
-0.5136315318441896,0.1334707153086631,-1
-0.9384871954093196,-1.551853597836231,-1
2.6610839286611405,1.3571414338156094,-1
-0.2017095381113949,-1.3787397759510496,-1
0.4404214582964751,0.1201335852227816,-1
0.2304458661917863,-0.3800368554828913,-1
-1.0209999153704017,0.3638082949572216,-1
-0.0367610324101403,-0.0087808235031862,-1
0.8525699402483546,-1.1470758887777974,-1
-0.4720904008413715,-0.1279122869978474,-1
-0.7594177699976744,-2.05414303855305,-1
0.4243933591497141,0.2598072917676666,-1
-1.1215896805064896,0.7159125732948789,-1
-0.6312141677975425,1.8503687216943896,-1
0.2001798401918539,1.0213457431616058,-1
0.7143743739758892,1.899341400269953,-1
0.0231176397964104,1.389018521749119,-1
-0.4021930045958268,0.0024054318821869,-1
0.1408606519947584,-1.8534662564114044,-1
0.3815689014399639,-0.5011484821661806,-1
0.0568742086151692,-0.0997836839285029,-1
0.2125391755131664,-1.8109891720855564,-1
-1.2666788408291938,1.660757283728977,-1
2.2207535799464404,-1.3101658937033878,-1
-0.0329409373604229,-0.0515822066846194,-1
-1.4453539999461686,-0.2502434106487682,-1
-0.8458780697340499,-2.4193737361248906,-1
0.1645361341519148,-0.215391491563506,-1
-0.1704128093432124,-1.482619194329649,-1
-0.6889764743553477,-1.718983302504424,-1
0.0355653443240068,0.3848949322717937,-1
-0.5981230429045711,-2.3544213927964623,-1
-0.1159312858565527,1.8133903278166352,-1
-0.343105254943265,0.4071668036279298,-1
-1.5298135642263038,0.7620192330712814,-1
1.0711239623478308,0.5474465212659573,-1
-0.2197493198768741,-1.7933393249832184,-1
-0.476751351311154,-0.9183154546888348,-1
-1.165453052838523,0.6551350248592613,-1
-0.5152558572758955,-0.1652286019222798,-1
-0.9331608807974582,0.7428210057947773,-1
-0.7725062146137577,-0.7495833556424152,-1
-1.376151784289689,1.0310743947693717,-1
-1.1335897769656182,1.105498205219412,-1
-0.0585733778324171,1.4377210909819564,-1
3.06686713134689,-0.1249439301407339,-1
0.0645552365279679,-0.1754752048574112,-1
-0.7969911491943155,-0.6727362149679873,-1
-1.2333876006046445,-1.4103921864561455,-1
-1.300307659362288,-0.3836199335662834,-1
0.2061759523763957,0.6411583586350588,-1
2.901632820804424,0.374013336315853,-1
0.7897128318271218,-1.052649035153431,-1
2.742966985511907,-1.2492084665631753,-1
-0.7255062272756094,1.5920135634348698,-1
-0.0908037590777423,0.7826316760621622,-1
-0.2632110289836823,0.916443067565366,-1
-1.2339496901068503,-1.2757448674885363,-1
-1.7134789719923724,-0.0431245027030409,-1
-0.9284766832243594,-0.8216538184443746,-1
-1.841056115970316,-1.895035017217945,-1
0.1251375051972115,1.3941414864157775,-1
0.8169849167834071,1.9317657094412488,-1
0.7290215523410285,-0.7532337249132217,-1
-1.2067269886532503,0.5438452144170015,-1
2.278432574295854,-1.5844138510683492,-1
-0.1866155666012667,2.535678623155877,-1
-1.452827669584443,1.4428195041645056,-1
-1.8031087782542816,1.160106174404974,-1
-0.949309141943141,0.2542479612447808,-1
0.830267586566483,0.5686781007572417,-1
0.0097806652571508,-2.086299257677881,-1
0.6425301334112915,0.8656244323165156,-1
-0.5537818380178959,1.077544352254469,-1
0.6413571202675846,-1.3545636777606926,-1
0.5762480794336904,0.4174992717237779,-1
2.934449921185355,0.4224765808876558,-1
-0.0892273845866527,0.419784982976706,-1
0.0732069763078417,-1.6637386653874158,-1
1.863786988883872,-0.0812396551923733,-1
-0.9991504363542923,0.2341684611995097,-1
-0.9753542428348236,1.1758318918190056,-1
-0.1947489940203372,-0.6155766390880926,-1
-0.96497990436947,-0.0157317097092134,-1
-1.0524403370441249,-2.337896357025246,-1
-0.0454517578936124,0.8160959739461234,-1
-0.4285141360969245,1.1305988126656723,-1
-1.1039462211650408,0.8767788367452324,-1
0.2789740174490197,1.2729753908001478,-1
-1.1977970323189078,1.3480917090503108,-1
3.1422044904713413,-0.4276181949175493,-1
3.1757253171306585,-0.3752416196286682,-1
0.937853392805798,-1.527178450685887,-1
0.894210307836226,-1.6151841239025169,-1
-0.8785787623675764,0.8469810938686746,-1
0.0688386782464347,2.1854501094191967,-1
-0.6175467463202045,-0.5995102839966019,-1
2.055233340326877,-1.0510747737922572,-1
-1.4941180231785371,-0.1941728606614991,-1
-0.8690932802948895,-0.4597125806713503,-1
-1.0654493776909422,0.7967153044195205,-1
-0.3486841990736163,0.6643429847761737,-1
0.9789136106017337,-1.6890540460106018,-1
-1.4341342984262475,-1.2993330317752212,-1
0.465780343836111,0.347709088422367,-1
1.3275611689714604,-1.3673913501101078,-1
-0.7915493342056427,-1.7592036162715734,-1
-0.7639770883379475,0.4916604238797332,-1
-0.2640349172609904,0.2842829857534061,-1
0.5137430467154033,-1.2028374346799122,-1
-0.1749300669074545,0.532561708340431,-1
-1.0948136979939782,-0.5430880154627632,-1
0.8093603112966459,0.3355138043148192,-1
-1.0206822435326524,0.7833303550047369,-1
1.0291202380592477,0.4009435791142583,-1
0.2170487149749718,0.5031601146159324,-1
-0.0818524077498491,-0.1145244035879311,-1
-1.03309301848601,-0.2161828131136226,-1
-1.793929477073284,-0.4373013504669749,-1
-1.0475175877992398,-0.7806857885546898,-1
0.3456588834106127,0.4627238335535051,-1
0.9571402508830552,0.4208345315552359,-1
3.531461923260093,-0.8277544568382684,-1
-0.5082200770860856,0.7502465410527756,-1
0.1637628523399591,-0.2232607158829849,-1
0.7824268235919782,-1.394406896319255,-1
1.183664310624668,-1.1911640363815703,-1
-0.6704290435882405,-0.5884670793350675,-1
0.7151590725300049,-1.4523840193218982,-1
0.1624925789568505,-0.7814166453388134,-1
0.4845960629382819,0.7329227089500966,-1
-1.578836780741024,1.393647717632077,-1
-0.6330550763721785,0.2719466939509863,-1
1.9051577653903045,-0.4752279553520137,-1
-0.0061776743364468,1.37782918079252,-1
0.4297798504391303,-1.8040328541271495,-1
-0.7945908864259178,-0.4034228262414839,-1
-0.9833835124153428,1.4914321221786926,-1
-0.2315582662414429,-0.2682723959886603,-1
