PC1,PC2,Cluster_OPTICS
-0.1555036281833767,-0.0478880804101382,117
-0.1216526201460693,-0.0638348937196403,117
-0.146125933964873,-0.0260835586334261,117
-0.1134908088420818,-0.0711298063265397,117
-0.117273220934576,-0.0361244277409596,117
-0.1049240793927567,-0.0493985042734535,117
-0.1341875209492682,-0.0488359470317988,117
-0.1156428254906053,-0.0927810439117331,117
-0.1222778256538685,-0.0656329835986137,117
-0.1283253032665557,-0.0288908288106678,117
-0.1049298897736339,-0.0298506014793465,117
-0.1034381060653966,-0.0394566020011914,117
-0.1378192012128699,-0.0450145868296314,117
-0.1173427764681452,-0.04008032134336,117
-0.0804476107178122,-0.0694425893298561,117
